event_key,mkey,vehicle_num,event_num,event_code,is_defining_event,tier1_name,tier1_num,tier2_name,tier2_num,soe_group,phase_group,silver_loaded_at
717,200719,1,8,300270,False,Takeoff,300,Abrupt maneuver,270,Abrupt Maneuver,Takeoff,2026-04-03 04:05:44.570293+00:00
718,200710,1,2,450341,True,Maneuvering,450,Loss of engine power (total),341,System/Component Failure (Powerplant),Maneuvering,2026-04-03 04:05:44.570293+00:00
719,200710,1,3,551230,False,Landing-flare/touchdown,551,Loss of control on ground,230,Loss of Control (Ground),Landing,2026-04-03 04:05:44.570293+00:00
720,200712,1,1,452240,True,Maneuvering-low-alt flying,452,Loss of control in flight,240,Loss of Control (Inflight),Maneuvering,2026-04-03 04:05:44.570293+00:00
721,200729,1,1,401901,True,Enroute-climb to cruise,401,Birdstrike,901,Other,Enroute,2026-04-03 04:05:44.570293+00:00
722,200693,1,1,452240,True,Maneuvering-low-alt flying,452,Loss of control in flight,240,Loss of Control (Inflight),Maneuvering,2026-04-03 04:05:44.570293+00:00
723,200704,1,1,400338,True,Enroute,400,Part(s) separation from AC,338,System/Component Failure (Non-Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
724,200689,1,1,451000,True,Maneuvering-aerobatics,451,Unknown or undetermined,000,Other,Maneuvering,2026-04-03 04:05:44.570293+00:00
725,200715,1,1,400341,True,Enroute,400,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
726,200694,1,1,452341,True,Maneuvering-low-alt flying,452,Loss of engine power (total),341,System/Component Failure (Powerplant),Maneuvering,2026-04-03 04:05:44.570293+00:00
727,200711,1,1,300200,True,Takeoff,300,Ground collision,200,Ground Collision,Takeoff,2026-04-03 04:05:44.570293+00:00
728,200743,1,1,402331,True,Enroute-cruise,402,Pressure/environ sys malf/fail,331,System/Component Failure (Non-Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
729,200684,1,3,452240,True,Maneuvering-low-alt flying,452,Loss of control in flight,240,Loss of Control (Inflight),Maneuvering,2026-04-03 04:05:44.570293+00:00
730,200686,1,1,551470,True,Landing-flare/touchdown,551,Collision with terr/obj (non-CFIT),470,Other,Landing,2026-04-03 04:05:44.570293+00:00
731,200698,1,2,552096,True,Landing-landing roll,552,Nose over/nose down,096,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
732,200698,1,3,100050,False,Prior to flight,100,Aircraft inspection event,050,Other,Standing,2026-04-03 04:05:44.570293+00:00
733,200751,1,1,452240,True,Maneuvering-low-alt flying,452,Loss of control in flight,240,Loss of Control (Inflight),Maneuvering,2026-04-03 04:05:44.570293+00:00
734,200685,1,1,552300,False,Landing-landing roll,552,Runway excursion,300,Runway Excursion,Landing,2026-04-03 04:05:44.570293+00:00
735,200685,1,2,550090,True,Landing,550,Abnormal runway contact,090,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
736,200683,1,1,400120,True,Enroute,400,Controlled flight into terr/obj (CFIT),120,CFIT,Enroute,2026-04-03 04:05:44.570293+00:00
737,200774,1,1,350342,True,Initial climb,350,Loss of engine power (partial),342,System/Component Failure (Powerplant),Initial Climb,2026-04-03 04:05:44.570293+00:00
738,200680,1,1,402341,True,Enroute-cruise,402,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
739,200680,1,2,600440,False,Emergency descent,600,Off-field or emergency landing,440,Other,Emergency Descent,2026-04-03 04:05:44.570293+00:00
740,200680,1,3,550470,False,Landing,550,Collision with terr/obj (non-CFIT),470,Other,Landing,2026-04-03 04:05:44.570293+00:00
741,200691,1,1,350341,True,Initial climb,350,Loss of engine power (total),341,System/Component Failure (Powerplant),Initial Climb,2026-04-03 04:05:44.570293+00:00
