vehicle_key,mkey,vehicle_num,make,model,model_family,aircraft_category,serial_number,registration_number,damage_level,fire_type,explosion_type,number_of_engines,engine_type,ga_flight,amateur_built,operator_name,far_part,flight_operation_type,silver_loaded_at
452,200758,1,AVIAT,A1,AVIAT A1,AIR,,N801RA,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
453,200794,1,BOEING,747-47UF,BOEING 747-47UF,AIR,,N258SN,None,None,None,4.0,TF,False,False,,129,,2026-04-03 04:05:44.570293+00:00
454,200794,2,AIRBUS,A320,AIRBUS A320,AIR,,A6-EIV,None,None,None,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
455,200760,1,DE HAVILLAND,DHC-6-300,DE HAVILLAND DHC-6-300,AIR,,N189GC,Substantial,None,None,2.0,,False,False,GRAND CANYON AIRLINES INC,135,,2026-04-03 04:05:44.570293+00:00
456,200781,1,BEECH,S35,BEECH S35,AIR,,N861T,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
457,200745,1,TAYLORCRAFT,BC12,TAYLORCRAFT BC12,AIR,,N95356,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
458,200744,1,DEHAVILLAND,DHC-2 MK 1,DEHAVILLAND DHC-2,AIR,,N232KT,Substantial,None,None,1.0,REC,False,False,"Rust's Flying Service, Inc",135,BUS,2026-04-03 04:05:44.570293+00:00
459,200752,1,PIPER,PA-28-151,PIPER PA-28-151,AIR,,N1080H,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
460,200762,1,AMERICAN EUROCOPTER LLC,AS350B3,AMERICAN EUROCOPTER LLC AS350B3,HELI,,N279AM,Minor,None,None,1.0,,False,False,AIR METHODS LLC,135,,2026-04-03 04:05:44.570293+00:00
461,200834,1,BEECH,A36,BEECH A36,AIR,,N60357,Substantial,None,None,1.0,,True,False,CENTRAL FLYING SERVICE LLC,091,EXEC,2026-04-03 04:05:44.570293+00:00
462,200767,1,CESSNA,195,CESSNA 195,AIR,,N1950C,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
463,200756,1,DENNEY,KITFOX,DENNEY KITFOX,AIR,,N300KF,Substantial,None,None,,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
464,200804,1,CESSNA,140,CESSNA 140,AIR,,N89351,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
465,200741,1,CESSNA,172N,CESSNA 172N,AIR,,N734SW,Substantial,None,None,1.0,REC,True,False,Red Eagle Aviation,091,INST,2026-04-03 04:05:44.570293+00:00
466,200750,1,RAYTHEON AIRCRAFT COMPANY,B36TC,RAYTHEON AIRCRAFT COMPANY B36TC,AIR,,N5073C,Substantial,None,None,1.0,REC,True,False,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,000,,2026-04-03 04:05:44.570293+00:00
467,200696,1,AIR TRACTOR INC,AT-400A,AIR TRACTOR INC AT-400A,AIR,,N3157B,Substantial,None,None,1.0,TP,True,False,Black Dog Aviation,091,AAPL,2026-04-03 04:05:44.570293+00:00
468,200754,1,NORTH AMERICAN,T-28C,NORTH AMERICAN T-28C,AIR,,N9748Y,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
469,200749,1,PIPER,PA-28-181,PIPER PA-28-181,AIR,,N686JA,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
470,200755,1,CESSNA,210,CESSNA 210,AIR,,CP-3139,Substantial,None,None,,,False,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
471,200732,1,HUGHES,369D,HUGHES 369D,HELI,,N173AL,Destroyed,On-Ground,None,1.0,,True,False,,133,OWRK,2026-04-03 04:05:44.570293+00:00
472,200733,1,CESSNA,T182T,CESSNA T182T,AIR,,N35370,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
473,200736,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N412DJ,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
474,200739,1,CESSNA,560,CESSNA 560,AIR,,5Y-FDN,Substantial,In-Flight,Unknown,,,False,False,African Medical and Research Foundation (AMREF) Flying Doctors,000,,2026-04-03 04:05:44.570293+00:00
475,200731,1,AIR TRACTOR INC,AT-301,AIR TRACTOR INC AT-301,AIR,,N23069,Substantial,None,None,1.0,,True,False,AG SPRAY INC,137,AAPL,2026-04-03 04:05:44.570293+00:00
476,200761,1,LANCAIR,ES,LANCAIR ES,AIR,,CA-AD05,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
477,200735,1,VANS,RV4,VANS RV4,AIR,,N595BS,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
478,200737,1,SCHWEIZER,SGS 2-33A,SCHWEIZER SGS,GLI,,N65818,Substantial,None,None,0.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
479,200724,1,AYRES CORPORATION,S2R-G6,AYRES CORPORATION S2R-G6,AIR,,N2239V,Substantial,None,None,1.0,,True,False,NORTH STAR AVIATION INC,137,,2026-04-03 04:05:44.570293+00:00
480,200730,1,BEECH,B200,BEECH B200,AIR,,G-NIAA,Unknown,None,None,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
481,200728,1,BEECH,35-C33,BEECH 35-C33,AIR,,N500HT,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
482,200721,1,BEECH,A36,BEECH A36,AIR,,N4970M,Unknown,None,None,1.0,,True,False,,000,,2026-04-03 04:05:44.570293+00:00
483,200722,1,AERONCA,7AC,AERONCA 7AC,AIR,,N84726,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
484,200716,1,BEECH,300,BEECH 300,AIR,,N534AW,Destroyed,On-Ground,None,2.0,,False,False,CSI AVIATION INC,135,POSI,2026-04-03 04:05:44.570293+00:00
485,200719,1,GARY W LEWINSKI,SONEX,GARY W LEWINSKI SONEX,AIR,,N67BG,Substantial,On-Ground,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
486,200710,1,CESSNA,172N,CESSNA 172N,AIR,,N1213F,Substantial,None,None,1.0,,True,False,FLIGHT ANSWERS LLC,091,INST,2026-04-03 04:05:44.570293+00:00
487,200712,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N750GT,Substantial,None,None,1.0,REC,True,False,Anna Kopp,091,PERS,2026-04-03 04:05:44.570293+00:00
488,200729,1,AIRBUS,A321,AIRBUS A321,AIR,,EC-OOJ,Unknown,None,None,2.0,TF,False,False,Iberia,000,,2026-04-03 04:05:44.570293+00:00
489,200693,1,ROBINSON HELICOPTER,R22 BETA,ROBINSON HELICOPTER R22,HELI,,N4684S,Substantial,None,None,1.0,REC,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
490,200704,1,PIPER,PA-28-180,PIPER PA-28-180,AIR,,N8359W,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
491,200689,1,LIONAL RAY WARD,WARD F-4 ROCKET,LIONAL RAY WARD WARD,AIR,,N31VX,Substantial,None,None,1.0,,True,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
492,200715,1,JABIRU AIRCRAFT PTY LTD,J230-D,JABIRU AIRCRAFT PTY LTD J230-D,AIR,,N784J,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
493,200694,1,CESSNA,188,CESSNA 188,AIR,,HK1635,Substantial,None,None,,,False,False,AGRICOLA DE SERVICIOS AEREOS DEL META ASAM S.A.S,000,,2026-04-03 04:05:44.570293+00:00
494,200711,1,CESSNA,A185E,CESSNA A185E,AIR,,N2252T,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
495,200743,1,BOEING,737,BOEING 737,AIR,,ZS-ZWO,None,None,None,2.0,TF,False,False,Safair Operations Pty Ltd,000,,2026-04-03 04:05:44.570293+00:00
496,200684,1,CESSNA,152,CESSNA 152,AIR,,N6125B,Destroyed,None,None,1.0,,True,False,BV ROAD AND SITE LLC,091,UNK,2026-04-03 04:05:44.570293+00:00
497,200686,1,CESSNA,U206F,CESSNA U206F,AIR,,N206GR,Substantial,None,None,1.0,REC,True,False,,091,OWRK,2026-04-03 04:05:44.570293+00:00
498,200698,1,CESSNA,TU206,CESSNA TU206,AIR,,N9493Z,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
499,200751,1,BELL,206,BELL 206,HELI,,C-GGAS,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
500,200685,1,CESSNA,208B,CESSNA 208B,AIR,,N645AT,Substantial,None,None,1.0,TP,False,False,J & M Alaska Air Tours,135,,2026-04-03 04:05:44.570293+00:00
501,200683,1,SCHLEICHER,ASW27-18,SCHLEICHER ASW27-18,GLI,,N929JK,Destroyed,On-Ground,Unknown,0.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
502,200774,1,CESSNA,TR182,CESSNA TR182,AIR,,HK2434G,Substantial,Unknown,Unknown,1.0,REC,False,False,,000,,2026-04-03 04:05:44.570293+00:00
503,200680,1,PIPER,J5C,PIPER J5C,AIR,,N28151,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
504,200691,1,CESSNA,172P,CESSNA 172P,AIR,,N62296,Substantial,None,None,1.0,,True,False,In The Pattern,091,INST,2026-04-03 04:05:44.570293+00:00
