vehicle_key,mkey,vehicle_num,make,model,model_family,aircraft_category,serial_number,registration_number,damage_level,fire_type,explosion_type,number_of_engines,engine_type,ga_flight,amateur_built,operator_name,far_part,flight_operation_type,silver_loaded_at
228,200806,1,BOEING,737,BOEING 737,AIR,,VH-IJU,None,None,None,,,False,False,,129,,2026-04-03 04:05:44.570293+00:00
229,200779,1,CESSNA,P210,CESSNA P210,AIR,,N92MS,Substantial,None,None,1.0,,True,False,CIL N92MS LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
230,200813,1,CIRRUS DESIGN CORP,SR22,CIRRUS DESIGN CORP SR22,AIR,,N654CD,Substantial,None,None,1.0,REC,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
231,200809,1,MOONEY,M20M,MOONEY M20M,AIR,,N42FA,Substantial,None,None,1.0,REC,True,False,Private Individual,000,PERS,2026-04-03 04:05:44.570293+00:00
232,200827,1,VANS AIRCRAFT,RV14,VANS AIRCRAFT RV14,AIR,,N29JM,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
233,200795,1,BOEING,737,BOEING 737,AIR,,9H-VVL,Minor,None,None,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
234,200805,1,BOEING,747-8F,BOEING 747-8F,AIR,,N613UP,Minor,None,None,4.0,TF,False,False,UPS,121,,2026-04-03 04:05:44.570293+00:00
235,200959,1,CESSNA,560,CESSNA 560,AIR,,VH-OHE,None,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
236,200785,1,CESSNA,150,CESSNA 150,AIR,,N9400U,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
237,200778,1,XAG,P100 PRO,XAG P100,HELI,,N467GE,Substantial,None,None,4.0,ELEC,True,False,,137,AAPL,2026-04-03 04:05:44.570293+00:00
238,200770,1,VANS,RV-7A,VANS RV-7A,AIR,,N30SG,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
239,200890,1,CESSNA,TR182,CESSNA TR182,AIR,,N619MW,Substantial,None,None,1.0,,True,False,Mark Williams,091,PERS,2026-04-03 04:05:44.570293+00:00
240,200772,1,PITTS,S-1T,PITTS S-1T,AIR,,N51HC,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
241,200763,1,NORTH AMERICAN,T-28B,NORTH AMERICAN T-28B,AIR,,N28XT,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
242,200769,1,SOCATA,TBM 700,SOCATA TBM,AIR,,N860CA,Destroyed,On-Ground,None,1.0,TP,True,False,Decagon Services INC,091,BUS,2026-04-03 04:05:44.570293+00:00
243,200775,1,PIPER,PA-12,PIPER PA-12,AIR,,N2504M,Substantial,None,None,1.0,,True,False,AERIAL MESSAGES LEASING CO,091,BANT,2026-04-03 04:05:44.570293+00:00
244,200764,1,DE HAVILLAND,DHC-6-300,DE HAVILLAND DHC-6-300,AIR,,N344CS,Substantial,None,None,2.0,,False,False,Rampart Aviation,135,,2026-04-03 04:05:44.570293+00:00
245,200757,1,HILLER,UH-12E,HILLER UH-12E,HELI,,N703WA,Substantial,None,None,1.0,TS,True,False,ANTHONY GHIDOSSI CHEMICAL LLC,137,AAPL,2026-04-03 04:05:44.570293+00:00
246,200824,1,AIRBUS,A320,AIRBUS A320,AIR,,VH-VQL,None,None,None,,TF,False,False,Jetstar,129,,2026-04-03 04:05:44.570293+00:00
247,200748,1,AIR TRACTOR INC,AT-502B,AIR TRACTOR INC AT-502B,AIR,,N502WF,Substantial,None,None,1.0,TP,True,False,"Midwest Custom Ag Aviation, Inc",137,,2026-04-03 04:05:44.570293+00:00
248,200746,1,AIR TRACTOR INC,AT-502,AIR TRACTOR INC AT-502,AIR,,N9193V,Substantial,None,None,1.0,,True,False,Klein Flying Services,137,AAPL,2026-04-03 04:05:44.570293+00:00
249,200768,1,MAULE,MX-7-180A,MAULE MX-7-180A,AIR,,N1052T,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
250,200758,1,AVIAT,A1,AVIAT A1,AIR,,N801RA,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
251,200794,1,BOEING,747-47UF,BOEING 747-47UF,AIR,,N258SN,None,None,None,4.0,TF,False,False,,129,,2026-04-03 04:05:44.570293+00:00
252,200794,2,AIRBUS,A320,AIRBUS A320,AIR,,A6-EIV,None,None,None,2.0,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
253,200760,1,DE HAVILLAND,DHC-6-300,DE HAVILLAND DHC-6-300,AIR,,N189GC,Substantial,None,None,2.0,,False,False,GRAND CANYON AIRLINES INC,135,,2026-04-03 04:05:44.570293+00:00
254,200781,1,BEECH,S35,BEECH S35,AIR,,N861T,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
255,200745,1,TAYLORCRAFT,BC12,TAYLORCRAFT BC12,AIR,,N95356,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
256,200744,1,DEHAVILLAND,DHC-2 MK 1,DEHAVILLAND DHC-2,AIR,,N232KT,Substantial,None,None,1.0,REC,False,False,"Rust's Flying Service, Inc",135,BUS,2026-04-03 04:05:44.570293+00:00
257,200752,1,PIPER,PA-28-151,PIPER PA-28-151,AIR,,N1080H,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
258,200762,1,AMERICAN EUROCOPTER LLC,AS350B3,AMERICAN EUROCOPTER LLC AS350B3,HELI,,N279AM,Minor,None,None,1.0,,False,False,AIR METHODS LLC,135,,2026-04-03 04:05:44.570293+00:00
259,200834,1,BEECH,A36,BEECH A36,AIR,,N60357,Substantial,None,None,1.0,,True,False,CENTRAL FLYING SERVICE LLC,091,EXEC,2026-04-03 04:05:44.570293+00:00
260,200767,1,CESSNA,195,CESSNA 195,AIR,,N1950C,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
261,200756,1,DENNEY,KITFOX,DENNEY KITFOX,AIR,,N300KF,Substantial,None,None,,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
262,200804,1,CESSNA,140,CESSNA 140,AIR,,N89351,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
263,200741,1,CESSNA,172N,CESSNA 172N,AIR,,N734SW,Substantial,None,None,1.0,REC,True,False,Red Eagle Aviation,091,INST,2026-04-03 04:05:44.570293+00:00
264,200750,1,RAYTHEON AIRCRAFT COMPANY,B36TC,RAYTHEON AIRCRAFT COMPANY B36TC,AIR,,N5073C,Substantial,None,None,1.0,REC,True,False,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,000,,2026-04-03 04:05:44.570293+00:00
265,200832,1,PIPER,PA-18-150,PIPER PA-18-150,AIR,,N4387Z,Substantial,None,None,1.0,REC,True,False,STATE OF ALASKA,000,PUBS,2026-04-03 04:05:44.570293+00:00
266,200754,1,NORTH AMERICAN,T-28C,NORTH AMERICAN T-28C,AIR,,N9748Y,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
267,200749,1,PIPER,PA-28-181,PIPER PA-28-181,AIR,,N686JA,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
268,200755,1,CESSNA,210,CESSNA 210,AIR,,CP-3139,Substantial,None,None,,,False,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
269,200732,1,HUGHES,369D,HUGHES 369D,HELI,,N173AL,Destroyed,On-Ground,None,1.0,,True,False,,133,OWRK,2026-04-03 04:05:44.570293+00:00
