finding_key,mkey,vehicle_num,finding_num,finding_code,finding_text,finding_report_text,in_probable_cause,silver_loaded_at
470,200686,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
471,200686,1,2,0202154544,Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot,Personnel issues Monitoring environment - Pilot,True,2026-04-03 04:05:44.570293+00:00
472,200686,1,3,0106201020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained,Aircraft Airspeed - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
473,200686,1,5,0202203544,Personnel issues - Psychological - Perception/orientation/illusion - Situational awareness - Pilot,Personnel issues Situational awareness - Pilot,True,2026-04-03 04:05:44.570293+00:00
474,200686,1,6,0303402591,Environmental issues - Conditions/weather/phenomena - Wind - Variable wind - Contributed to outcome,Environmental issues Variable wind - Contributed to outcome,False,2026-04-03 04:05:44.570293+00:00
475,200698,1,2,0102324605,Aircraft - Aircraft systems - Landing gear system - Wheel/ski/float - Damaged/degraded,Aircraft Wheel/ski/float - Damaged/degraded,True,2026-04-03 04:05:44.570293+00:00
476,200698,1,3,0204152044,Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot,Personnel issues Decision making/judgment - Pilot,True,2026-04-03 04:05:44.570293+00:00
477,200685,1,1,0106103008,Aircraft - Aircraft oper/perf/capability - Aircraft capability - Landing distance - Capability exceeded,Aircraft Landing distance - Capability exceeded,True,2026-04-03 04:05:44.570293+00:00
478,200685,1,2,0106105008,Aircraft - Aircraft oper/perf/capability - Aircraft capability - Braking capability - Capability exceeded,Aircraft Braking capability - Capability exceeded,True,2026-04-03 04:05:44.570293+00:00
479,200685,1,3,0204152044,Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot,Personnel issues Decision making/judgment - Pilot,True,2026-04-03 04:05:44.570293+00:00
480,200685,1,4,0202203544,Personnel issues - Psychological - Perception/orientation/illusion - Situational awareness - Pilot,Personnel issues Situational awareness - Pilot,True,2026-04-03 04:05:44.570293+00:00
481,200685,1,5,0204102544,Personnel issues - Action/decision - Action - Delayed action - Pilot,Personnel issues Delayed action - Pilot,False,2026-04-03 04:05:44.570293+00:00
482,200685,1,6,0106201020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained,Aircraft Airspeed - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
483,200685,1,7,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,False,2026-04-03 04:05:44.570293+00:00
484,200685,1,8,0106204020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained,Aircraft Descent/approach/glide path - Not attained/maintained,False,2026-04-03 04:05:44.570293+00:00
485,200685,1,9,0204101044,Personnel issues - Action/decision - Action - Incorrect action selection - Pilot,Personnel issues Incorrect action selection - Pilot,False,2026-04-03 04:05:44.570293+00:00
