"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"WPR25LA143","ACC","200077","2025-04-28T14:15:00Z","Lakeview","Oregon","United States",,"N4505R","28-21205","false","Aviation","DirectorBrief","2025-07-03T04:00:00Z","2025-07-03T17:00:00Z","Serious","0","2","0","2",,"The pilot’s failure to maintain directional control during the landing roll.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"42.161110999999998","-120.39908","PIPER","PA-28-140","AIR","LKV","LAKE COUNTY","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200077","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200077/pdf"
"GAA25WA155","ACC","200136","2025-04-28T10:45:00Z","Allen","Other Foreign","Argentina",,"LV-HTM",,"false","Aviation","",,,"Fatal","1","0","2","2","1",,,,"-38.958333000000003","-67.802778000000004","CESSNA","182","AIR",,"Aerodromo de Allen","false","1",,,"PERS","NUSN","Substantial",,,"N/A",,"Prelim","","None"
"WPR25LA144","ACC","200078","2025-04-26T13:15:00Z","Ontario","Oregon","United States",,"N8657R","193","false","Aviation","",,,"None","0","0","0","0",,,,,"44.020181000000001","-117.01385999999999","SCHWEIZER","SGS 1-26B","GLI","ONO",,"false","0",,,"PERS","091","Substantial",,"HAGER BILL E","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200078/pdf"
"ERA25FA187","ACC","200069","2025-04-26T12:47:00Z","Sparta","Tennessee","United States",,"N242RE","31-0020","false","Aviation","",,,"Fatal","3","0","0","3",,,,,"36.028064000000001","-85.552312000000001","MOONEY","M20TN","AIR","SRB","UPPER CUMBERLAND RGNL","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200069/pdf"
"ERA25LA189","ACC","200074","2025-04-26T11:30:00Z","Weyers Cave","Virginia","United States",,"N9117L","303-71","false","Aviation","DirectorBrief","2026-03-18T04:00:00Z","2026-03-18T17:00:00Z","None","0","0","0","0","0","A total loss of engine power on approach due to carburetor ice.","Aircraft - Aircraft power plant - Engine fuel and control - Fuel control/carburetor - Not specified, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to carburetor icing - Effect on equipment",,"38.263832999999998","-78.896444000000002","CHAMPION","7GCBC","AIR","SHD","SHENANDOAH VALLEY RGNL","false","1","REC",,"INST","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200074","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200074/pdf"
"ENG25LA053","INC","200090","2025-04-25T19:14:00Z","Honolulu","Hawaii","United States",,"N347AZ","26264","false","Aviation","",,,"None","0","0","0","0","0",,,,"21.317824999999999","-157.92025000000001","BOEING","767","AIR",,,"false","2",,"NSCH",,"121","None","VMC","Air Transport International","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200090/pdf"
"ANC25LA036","ACC","200094","2025-04-25T04:00:00Z","North Pole","Alaska","United States",,"N9308K","2308","false","Aviation","DirectorBrief","2025-08-11T04:00:00Z","2025-08-11T17:00:00Z","Minor","0","0","1","1",,"The pilot's failure to maintain obstacle clearance which resulted in an in-flight collision with a tree. Contributing to the accident was his impairment from the effects of alcohol consumption.","Personnel issues - Physical - Impairment/incapacitation - Alcohol - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Effect on equipment",,"64.710847000000001","-147.19166000000001","STINSON","108","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200094","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200094/pdf"
"CEN25LA163","ACC","200063","2025-04-24T21:51:00Z","Hartford","Illinois","United States",,"N880SL","7130","false","Aviation","DirectorBrief","2025-06-20T04:00:00Z","2025-06-20T17:00:00Z","Serious","0","3","0","3","0","The pilot’s failure to maintain directional control during the initial climb at night from a confined area landing zone, that resulted in an impact with a tree, a loss of control, and a subsequent impact with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot, Personnel issues - Action/decision - Action - Incorrect action sequence - Pilot",,"38.837712000000003","-90.095830000000007","MESSERSCHMITT-BOLKOW-BLOHM","BK 117","HELI",,,"false","2","TS","NSCH","OWRK","135","Substantial","VMC","AIR METHODS LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200063","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200063/pdf"
"WPR25LA157","ACC","200175","2025-04-24T18:40:00Z","Fullerton","California","United States",,"N415DG","0553","false","Aviation","DirectorBrief","2025-08-11T04:00:00Z","2025-08-11T17:00:00Z","None","0","0","0","0",,"The pilot’s failure to attain a proper touchdown point, which resulted in a runway overrun and collision with terrain.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Terrain - Sloped/uneven terrain - Effect on equipment, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained",,"33.872014","-117.97978000000001","CIRRUS DESIGN CORP","SR22T","AIR","FUL","FULLERTON MUNI","false","1","REC",,"PERS","091","Substantial","VMC","TRUONGTON AVIATION LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200175","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200175/pdf"
"ERA25FA185","ACC","200061","2025-04-24T12:35:00Z","Hampton","Virginia","United States",,"N530RH","MXS-001","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"37.078798999999997","-76.374450999999993","MX AIRCRAFT TECH PTY LTD","MXS","AIR","LFI","LANGLEY AFB","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200061/pdf"
