"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA274","ACC","200605","2025-07-22T11:30:00Z","Hastings","Nebraska","United States",,"N502KB","502B-2748","false","Aviation","DirectorBrief","2025-10-02T04:00:00Z","2025-10-02T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain clearance from powerlines while maneuvering at low altitude.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Wire - Awareness of condition, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"40.568013999999998","-98.354481000000007","AIR TRACTOR","AT502","AIR",,,"false","1","TP",,"AAPL","137","Substantial","VMC","MEYERS AERIAL SERVICE LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200605","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200605/pdf"
"GAA25WA244","ACC","200868","2025-07-22T11:16:00Z","Azzano Mella","Other Foreign","Italy",,"I-E607",,"false","Aviation","",,,"Fatal","2","0","0","2","0",,,,,,"ProMecc Aerosapce","Freccia FG","AIR",,,"false",,,,,"NUSN","Destroyed",,,"N/A",,"Prelim","","None"
"CEN25FA273","ACC","200603","2025-07-22T10:30:00Z","Oregon","Illinois","United States",,"N2802J","T18803515T","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"42.038871999999998","-89.388897999999998","CESSNA","T188C","AIR",,,"false","1",,,"AAPL","137","Substantial","VMC","CENTRAL STATES AERIAL LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200603/pdf"
"ERA25LA276","ACC","200622","2025-07-22T10:30:00Z","Farmingdale","New York","United States",,"N67722","560","false","Aviation","DirectorBrief","2025-11-20T05:00:00Z","2025-11-20T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain directional control of the airplane while landing in a crosswind.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Response/compensation",,"40.726737","-73.411360999999999","HOWARD AIRCRAFT","DGA-15P","AIR","FRG","Republic Airport","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200622","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200622/pdf"
"CEN25LA278","ACC","200611","2025-07-21T19:56:00Z","Oshkosh","Wisconsin","United States",,"C-GPDZ",,"false","Aviation","",,,"None","0","0","0","0","0",,,,"43.991079999999997","-88.561036999999999","RAVIN","500","AIR","OSH","WITTMAN RGNL","true","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200611/pdf"
"CEN25FA269","ACC","200598","2025-07-21T18:28:00Z","Granite Falls","Minnesota","United States",,"N339L","530432","false","Aviation","",,,"Fatal","1","1","0","2","0",,,,"44.761330999999998","-95.561233000000001","AERO VODOCHODY","L-39C","AIR","GDB","Granite Falls Municipal Airport","false","1",,,"INST","091","Substantial","VMC","L39 Aircraft LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200598/pdf"
"CEN25FA270","ACC","200599","2025-07-21T17:27:00Z","Lowell","Michigan","United States",,"N21KL","140933","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"42.959460999999997","-85.357535999999996","Van's Aircraft","RV-14","AIR",,,"true","1",,,"PERS","091","Destroyed","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200599/pdf"
"DCA25WA292","INC","200792","2025-07-21T15:26:00Z","Ciudad de México",,"Mexico",,"N3766","30820","false","Aviation","","2025-10-08T04:00:00Z",,"None","0","0","0","0",,,,,"19.436299999999999","-99.072097999999997","BOEING","737-832","AIR","MMMX","Licenciado Benito Juarez International Airport","false","2","TF","SCHD",,"121","None",,"DELTA AIR LINES INC","N/A",,"Final","","None"
"DCA25LA269","ACC","200620","2025-07-21T14:01:00Z","Jacksonville","Georgia","United States",,"N229JQ","17000219","false","Aviation","DirectorBrief","2026-03-17T04:00:00Z","2026-03-17T18:00:00Z","Serious","0","1","0","1",,"The airplane’s encounter with unanticipated moderate turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition",,"30.770700000000001","-81.572000000000003","EMBRAER-EMPRESA BRASILEIRA DE","ERJ 170-200 LR","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","DELTA AIR LINES INC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200620","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200620/pdf"
"ERA25LA275","ACC","200596","2025-07-21T11:48:00Z","San Juan","Puerto Rico","United States",,"N4187U","2843201","false","Aviation","DirectorBrief","2025-11-20T05:00:00Z","2025-11-20T18:00:00Z","None","0","0","0","0",,"The student pilot’s excessing pitch attitude during takeoff, which resulted in a loss of aircraft control and aerodynamic stall.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Student/instructed pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Capability exceeded",,"18.456778","-66.098472000000001","PIPER","PA28","AIR","SIG","Fernando Luis Ribas Dominicci Airport","false","1","REC",,"INST","091","Substantial","VMC","INTER AMERICAN UNIVERSITY OF PUERTO RICO","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200596","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200596/pdf"
