"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"WPR25LA185","ACC","200372","2025-06-20T12:55:00Z","San Andreas","California","United States",,"N28545","1374","false","Aviation","DirectorBrief","2025-11-14T05:00:00Z","2025-11-14T18:00:00Z","None","0","0","0","0",,"The pilot’s loss of directional control during landing roll following an encounter with a dust devil.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Attain/maintain not possible, Environmental issues - Conditions/weather/phenomena - Wind - Dust devil/whirlwind - Effect on operation",,"38.146110999999998","-120.64816","SILVAIRE","LUSCOMBE 8A","AIR","CPU","CALAVERAS COUNTY/MAURY RASMUSSEN FLD","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200372","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200372/pdf"
"WPR25LA184","ACC","200371","2025-06-20T10:10:00Z","Rockford","Washington","United States",,"N2680Y","18051180","false","Aviation","DirectorBrief","2025-09-26T04:00:00Z","2025-09-26T17:00:00Z","Minor","0","0","1","1",,"The pilot's inadequate preflight inspection, which resulted in a total loss of engine power due to fuel exhaustion and a subsequent landing on rough terrain.","Personnel issues - Task performance - Inspection - Preflight inspection - Pilot, Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Terrain - Rough terrain - Contributed to outcome",,"47.477879999999999","-117.15342","CESSNA","180E","AIR",,,"false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200371","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200371/pdf"
"ERA25FA231","ACC","200356","2025-06-20T10:00:00Z","Broadway","North Carolina","United States",,"N79AV","5114","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"35.437686999999997","-79.016907000000003","PITTS","S2","AIR",,,"false","1",,,"PERS","091","Substantial",,,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200356/pdf"
"CEN25LA214","ACC","200364","2025-06-19T19:45:00Z","Brookshire","Texas","United States",,"N7299Q","17260599","false","Aviation","DirectorBrief","2025-10-17T04:00:00Z","2025-10-17T17:00:00Z","None","0","0","0","0",,"The pilot’s improper landing flare, which resulted in a hard, bounced landing and the nose landing gear collapsing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"29.838550000000001","-95.949903000000006","CESSNA","172","AIR","27XS","Sport Flyers","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200364","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200364/pdf"
"WPR25LA187","ACC","200375","2025-06-19T16:30:00Z","Kayenta","Arizona","United States",,"N454CT","F-08-08-23","false","Aviation","DirectorBrief","2025-09-16T04:00:00Z",,"Minor","0","0","1","1",,"The pilots’ failure to maintain airplane control during takeoff in gusting crosswind conditions, which resulted in a runway excursion.","Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Ability to respond/compensate, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Copilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained",,"36.718657999999998","-110.22389","FLIGHT DESIGN GMBH","CTLS","AIR","0V7","Kayenta","false","1","REC",,"PERS","091","Substantial","VMC","AMPLE AVIATION LLC","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200375/pdf"
"WPR25FA182","ACC","200353","2025-06-19T15:12:00Z","Billings","Montana","United States",,"N79306","17258032","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"45.635317000000001","-108.52737999999999","CESSNA","172","AIR",,,"false","1",,"NSCH","PERS","091","Substantial","VMC","LA PARTNERSHIP","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200353/pdf"
"CEN25LA218","ACC","200377","2025-06-19T10:40:00Z","Huron","South Dakota","United States",,"N6174A","36-8102016","false","Aviation","DirectorBrief","2025-09-05T04:00:00Z","2025-09-05T18:00:00Z","None","0","0","0","0","0","The pilot’s exceedance of the airplane’s critical angle of attack during a low-level aerial application, which resulted in an aerodynamic stall and loss of airplane control at too low of an altitude to recover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Angle of attack - Not attained/maintained, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"44.336182999999998","-98.320925000000003","PIPER","PA-36-375","AIR",,,"false","1","REC",,"AAPL","137","Substantial","VMC","DAKOTA AIR SPRAY LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200377","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200377/pdf"
"ERA25FA230","ACC","200355","2025-06-19T09:46:00Z","Beverly","Massachusetts","United States",,"N9573M","670150","false","Aviation","",,,"Fatal","2","0","0","2",,,,,"42","-70","MOONEY","M20F","AIR","BVY","BEVERLY RGNL","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200355/pdf"
"GAA25WA199","ACC","200442","2025-06-18T18:00:00Z","Bankstown",,"Australia",,"VH-EEL",,"false","Aviation","","2025-08-07T04:00:00Z",,,,,,,,,,,,,"BEECH","200","AIR",,,"false",,,,,"NUSC","Minor",,,"N/A",,"Final","","None"
"DCA25LA241","ACC","200379","2025-06-18T16:14:00Z","Barlow Bend","Alabama","United States",,"N8685B","36723","false","Aviation","DirectorBrief","2025-12-10T05:00:00Z","2025-12-10T19:00:00Z","Serious","0","1","10","11",,"The airplane’s encounter with unanticipated turbulence during descent, resulting in a serious injury to a flight attendant.","Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on personnel",,"31.448","-87.613","BOEING","737-8H4","AIR",,,"false","2","TF","SCHD",,"121","None","Unknown","SOUTHWEST AIRLINES CO","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200379","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200379/pdf"
